_type,_id,_revision,_page.next,id,sugauta_kiekis,matavimo_vnt,zuvies_pav,zuvies_komercinis_pav,zuvies_pav_en,zuvies_mokslinis_pav,seima,zvejybos_pastangos_id,zvejybos_pastangos_pradzia,zvejybos_pastangos_pabaiga,pastangos_trukme_val,ekonomines_zonos_kodas,ekonomines_zonos_pav,fao_zonos_kodas,fao_zonos_pav,laivo_registracijos_numeris,kapitono_id,zvejybos_irankio_pav,zvejybos_irankio_ilgis,zvejybos_irankio_tankumas,gylis,laivo_isvykimo_data_laikas,laivo_isvykimo_uosto_pav,laivo_isvykimo_uosto_salis,ar_isvykimo_uostas_eu,laivo_grizimo_data_laikas,laivo_grizimo_uosto_pavadinimas,laivo_grizimo_uosto_salis,ar_grizimo_uostas_eu
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,c94e8d60-40f6-4fa5-a516-8011f9bdf362,0dbfd445-9ca8-47ab-8602-23056b09402c,,100015,1000,Kilogramai,Menkė Atlantinė,Atlantinė menkė,Atlantic Cod,Gadus morhua,Gadidae,76633,2004-12-21T00:00:00,2004-12-21T08:00:00,8,LTU,Lietuva,27.3.d,Baltic Sea (Division Iiid),bea49309191aac7,fd93751649ac3ea,Nežinomi arba išsamiai nenurodyti įrankiai,,,,2004-12-27T00:00:00,---,,,2004-12-27T00:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,484f594f-5ef0-43b7-8eb7-bb7d431fbc2e,b79fa461-4de0-414c-865a-0ef3940ede6f,,100016,400,Kilogramai,Menkė Atlantinė,Atlantinė menkė,Atlantic Cod,Gadus morhua,Gadidae,76636,2004-12-21T00:00:00,2004-12-21T08:00:00,8,LTU,Lietuva,27.3.d,Baltic Sea (Division Iiid),3801fa46eae3ad4,fd93751649ac3ea,Nežinomi arba išsamiai nenurodyti įrankiai,,,,2004-12-27T00:00:00,---,,,2004-12-27T00:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,8c59ff2b-0d6d-42fc-be59-ca4b3fe60af9,aeeccf36-3d96-4768-bbd0-dd135ef25618,,100017,725,Kilogramai,Menkė Atlantinė,Atlantinė menkė,Atlantic Cod,Gadus morhua,Gadidae,76641,2004-12-20T00:00:00,2004-12-20T08:00:00,8,LTU,Lietuva,27.3.d,Baltic Sea (Division Iiid),7b74f7c517b8cfe,fd93751649ac3ea,Nežinomi arba išsamiai nenurodyti įrankiai,,,,2004-12-28T00:00:00,---,,,2004-12-28T00:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,b3da36aa-1b40-44db-9aff-b811a7449dba,ca700083-6395-4793-b0f0-35e03c77f269,,100018,5000,Kilogramai,Šprotas atlantinis,Šprotas (Bretlingis),European Sprat,Sprattus sprattus,Clupeidae,76644,2004-12-27T00:00:00,2004-12-27T06:00:00,6,LTU,Lietuva,27.3.d,Baltic Sea (Division Iiid),4f51e33d25c41a1,fd93751649ac3ea,Nežinomi arba išsamiai nenurodyti įrankiai,,,,2004-12-29T00:00:00,---,,,2004-12-29T00:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,1779a8ff-80a4-48eb-93e5-a1dcba7bd1dd,f5acdf07-ba98-408c-be13-97c0b3173eb4,,100019,70000,Kilogramai,Šprotas atlantinis,Šprotas (Bretlingis),European Sprat,Sprattus sprattus,Clupeidae,76648,2004-11-05T00:00:00,2004-11-05T11:00:00,11,LTU,Lietuva,27.3.d,Baltic Sea (Division Iiid),db56d9e26019b95,fd93751649ac3ea,Nežinomi arba išsamiai nenurodyti įrankiai,,,,2004-12-29T00:00:00,---,,,2004-12-29T00:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,e416827f-4784-432b-9e55-53043044a118,63481138-140a-415a-947c-adc6ba8e5edd,,10002,153,Kilogramai,Menkė Atlantinė,Atlantinė menkė,Atlantic Cod,Gadus morhua,Gadidae,29194,2012-04-08T15:00:00,2012-04-08T18:00:00,3,XIN,Tarptautiniai vandenys,21.3.M,Flemish Cap,3b3ce5f53d596cb,ecb7937db58ec9d,Dugninis tralas su kėtoklėmis,61,130,782,2012-01-01T17:00:00,Vigo (ESP),Ispanija,TRUE,2012-04-27T15:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,d20cb8b8-c46b-4956-a44b-314df207a886,824cbcb4-7981-43a6-a26d-17b5ca88fa16,,100020,100000,Kilogramai,Šprotas atlantinis,Šprotas (Bretlingis),European Sprat,Sprattus sprattus,Clupeidae,76654,2004-12-09T00:00:00,2004-12-09T04:00:00,4,LTU,Lietuva,27.3.d,Baltic Sea (Division Iiid),db56d9e26019b95,fd93751649ac3ea,Nežinomi arba išsamiai nenurodyti įrankiai,,,,2004-12-29T00:00:00,---,,,2004-12-29T00:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,bef0529b-db22-40ae-afd2-02d936db6bd3,662c912e-0e0f-481b-92c3-7c1572642aea,,100021,50000,Kilogramai,Šprotas atlantinis,Šprotas (Bretlingis),European Sprat,Sprattus sprattus,Clupeidae,76655,2004-12-09T00:00:00,2004-12-09T06:00:00,6,LTU,Lietuva,27.3.d,Baltic Sea (Division Iiid),db56d9e26019b95,fd93751649ac3ea,Nežinomi arba išsamiai nenurodyti įrankiai,,,,2004-12-29T00:00:00,---,,,2004-12-29T00:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,be9cd717-8d6b-41cc-ba3e-b433ce684396,a5518de7-1a62-49ba-9276-1735e5d5c771,,100022,1075,Kilogramai,Menkė Atlantinė,Atlantinė menkė,Atlantic Cod,Gadus morhua,Gadidae,76659,2004-12-21T00:00:00,2004-12-21T11:18:00,11,LTU,Lietuva,27.3.d,Baltic Sea (Division Iiid),045641d5e73c86a,fd93751649ac3ea,Nežinomi arba išsamiai nenurodyti įrankiai,,,,2004-12-29T00:00:00,---,,,2004-12-29T00:00:00,---,,
datasets/gov/ztzum/sugautu_zuvu_kiekiai/ZuvuKiekis,2158af30-1934-4954-9344-8c82f809abcf,a334a15f-c772-4e7f-a9d1-b6932dd1d613,,100023,200,Kilogramai,Menkė Atlantinė,Atlantinė menkė,Atlantic Cod,Gadus morhua,Gadidae,76666,2004-12-28T00:00:00,2004-12-28T09:18:00,9,LTU,Lietuva,27.3.d,Baltic Sea (Division Iiid),c1d81ada39edbb3,fd93751649ac3ea,Statomi žiauniniai tinklai (inkaruojami),1,120,,2005-01-12T00:00:00,---,,,2005-01-12T00:00:00,---,,
